이체년월,법정동시도,법정동시군_일부통합(연금일시금분류(일시금합침)),노령연금 수급자수,노령연금 금액,장애연금 수급자수,장애연금 금액,유족연금 수급자수,유족연금 금액,일시금 수급자수,일시금 금액
2022-07,경기도,하남시,26100 ,13717645690 ,326 ,217567840 ,3528 ,1028991720 ,66 ,307005560 
2022-07,경기도,용인시,86170 ,49867773230 ,1040 ,706579220 ,13016 ,4270159680 ,272 ,2242088260 
2022-07,경기도,파주시,38823 ,18329411070 ,615 ,316599730 ,6845 ,1797351860 ,185 ,1206193070 
2022-07,경기도,이천시,20062 ,9646718820 ,317 ,132886260 ,3614 ,935857900 ,98 ,520121870 
2022-07,경기도,안성시,19889 ,9322475500 ,245 ,117651190 ,3492 ,854546810 ,103 ,647829720 
2022-07,경기도,김포시,37507 ,19272728460 ,551 ,352130550 ,5772 ,1682279790 ,191 ,1672281140 
2022-07,경기도,화성시,53649 ,27834460790 ,981 ,492281400 ,8930 ,2449800000 ,339 ,3095708070 
2022-07,경기도,광주시,34726 ,16624337840 ,500 ,250660140 ,5158 ,1389034920 ,155 ,1154752410 
2022-07,경기도,양주시,21791 ,9691304620 ,349 ,181004260 ,3732 ,969846300 ,107 ,587919460 
2022-07,경기도,포천시,17637 ,7707580550 ,262 ,136578640 ,3042 ,730498180 ,135 ,902137390 
2022-07,경기도,여주시,13813 ,6300149210 ,205 ,134940540 ,2516 ,609850700 ,52 ,302851680 
2022-07,경기도,연천군,5852 ,2445912080 ,72 ,41006880 ,1150 ,269585870 ,21 ,82457000 
2022-07,경기도,가평군,8915 ,4073246410 ,109 ,47573420 ,1474 ,358825610 ,23 ,131284130 
2022-07,경기도,양평군,17640 ,8741851970 ,182 ,76685690 ,2766 ,710436480 ,39 ,154335460 
2022-07,강원도,춘천시,24979 ,11300481980 ,392 ,215461310 ,4713 ,1239039180 ,78 ,346037770 
2022-07,강원도,원주시,31445 ,14635707850 ,523 ,248381380 ,5659 ,1436406770 ,105 ,411146260 
2022-07,강원도,강릉시,24566 ,10945324570 ,358 ,154441320 ,4930 ,1217738450 ,76 ,429714670 
2022-07,강원도,동해시,9997 ,4755367110 ,160 ,100265850 ,2037 ,533516150 ,37 ,176151730 
2022-07,강원도,태백시,6370 ,3155566870 ,126 ,42070340 ,1418 ,328328510 ,14 ,47549860 
2022-07,강원도,속초시,8055 ,3430717210 ,118 ,43597700 ,1509 ,360457770 ,28 ,132485680 
2022-07,강원도,삼척시,9403 ,4609921070 ,125 ,48846810 ,2183 ,536809590 ,27 ,130972340 
2022-07,강원도,홍천군,10326 ,4565912170 ,112 ,44088800 ,1877 ,426804700 ,33 ,172535920 
2022-07,강원도,횡성군,8257 ,3729273150 ,102 ,36486140 ,1361 ,313212100 ,16 ,67916350 
2022-07,강원도,영월군,6257 ,2866577660 ,80 ,26665540 ,1190 ,283737490 ,20 ,63884790 
2022-07,강원도,평창군,6674 ,2961972760 ,63 ,37590770 ,1162 ,259988360 ,23 ,161778540 
2022-07,강원도,정선군,5786 ,2526149610 ,100 ,34326870 ,1293 ,288441550 ,18 ,112044010 
2022-07,강원도,철원군,5094 ,2042616600 ,50 ,36887630 ,1118 ,252321340 ,23 ,146293470 
2022-07,강원도,화천군,2900 ,1179100860 ,28 ,11365550 ,583 ,136079190 ,5 ,20433350 
2022-07,강원도,양구군,2417 ,956741870 ,30 ,11816780 ,498 ,111343360 ,8 ,28885440 
2022-07,강원도,인제군,3713 ,1561070280 ,35 ,16980420 ,705 ,162821460 ,19 ,66293550 
2022-07,강원도,고성군,3877 ,1507040870 ,46 ,19244130 ,920 ,207159050 ,14 ,53041600 
2022-07,강원도,양양군,4298 ,1798515960 ,45 ,17818650 ,1024 ,233294330 ,11 ,82387950 
2022-07,충청북도,청주시,70946 ,34369926710 ,1093 ,617723700 ,13286 ,3446740630 ,279 ,1519949070 
2022-07,충청북도,충주시,23825 ,10278208250 ,340 ,140280200 ,4511 ,1061139010 ,78 ,508779330 
