이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
서대구,66475 ,28845780290 ,66921 ,29119069420 ,67397 ,29444193230 ,67815 ,29710461440 ,68298 ,30046451270 ,68771 ,30360997690 ,69368 ,32352813700 ,69545 ,32578860640 ,69744 ,32533523100 ,69882 ,32611250520 ,69949 ,32663869600 ,70086 ,32770766600 
동대구,39304 ,16672265090 ,39547 ,16880536830 ,39814 ,16980515880 ,40089 ,17172651580 ,40392 ,17374300410 ,40656 ,17534579920 ,40968 ,18669783090 ,41084 ,18826538630 ,41211 ,18866392040 ,41325 ,18881615140 ,41463 ,18942162330 ,41571 ,19066653700 
대구수성,61974 ,29265284570 ,62361 ,29490898450 ,62807 ,29763304570 ,63257 ,30187977990 ,63729 ,30509227870 ,64165 ,30835879230 ,64732 ,32912323000 ,64984 ,33220883550 ,65215 ,33164192650 ,65309 ,33236768250 ,65326 ,33293812280 ,65423 ,33416434540 
대구달성고령,29927 ,13646426020 ,30140 ,13789546280 ,30375 ,13897663310 ,30618 ,14077090250 ,30921 ,14303102980 ,31213 ,14487402210 ,31576 ,15511357940 ,31705 ,15641326930 ,31859 ,15648702390 ,32049 ,15857897670 ,32131 ,15920638520 ,32203 ,15937919800 
남동연수,72542 ,38735067180 ,73138 ,39257511260 ,73871 ,39700936470 ,74581 ,40103550140 ,75310 ,40755685700 ,76031 ,41270040450 ,76890 ,44090458960 ,77176 ,44452873270 ,77490 ,44367546150 ,77727 ,44575816030 ,77804 ,44654967610 ,77920 ,44789858120 
서인천,43016 ,22269004660 ,43542 ,22641641280 ,44096 ,22928242430 ,44707 ,23354215890 ,45332 ,23817673580 ,45894 ,24165268380 ,46627 ,26004907740 ,46923 ,26299328240 ,47184 ,26311314580 ,47401 ,26411539590 ,47532 ,26543895120 ,47685 ,26628219330 
부평계양,73985 ,36602840270 ,74701 ,37039853680 ,75464 ,37520574720 ,76219 ,38092405910 ,76902 ,38585744210 ,77601 ,39030097020 ,78351 ,41650344540 ,78606 ,41823218780 ,78846 ,41863164110 ,79050 ,42048384620 ,79150 ,42131738750 ,79270 ,42188387400 
남인천,63441 ,29873368390 ,63980 ,30243684370 ,64544 ,30474323330 ,65038 ,30859242440 ,65493 ,31182918560 ,65979 ,31498103690 ,66391 ,33441726680 ,66561 ,33621721050 ,66717 ,33555521410 ,66945 ,33768826980 ,67047 ,33861891450 ,67131 ,33912395850 
김포강화,49717 ,24674336860 ,50097 ,24902783300 ,50461 ,25137313990 ,50827 ,25436746190 ,51242 ,25810180220 ,51637 ,26008010560 ,52180 ,27816007040 ,52342 ,27935675860 ,52491 ,27984943470 ,52689 ,28103359450 ,52797 ,28132434740 ,52905 ,28256327080 
광주지역본부,49949 ,23687877960 ,50409 ,24012160780 ,50884 ,24319926090 ,51348 ,24660685860 ,51840 ,25017704450 ,52268 ,25355423700 ,52812 ,27105294930 ,52997 ,27288019050 ,53145 ,27302416120 ,53239 ,27407459840 ,53316 ,27493544300 ,53415 ,27561513100 
